	회사코드	회사명	업종코드	상장주식수	자본금	액면가	통화구분	대표전화	주소
34	017940	E1	74607	6860000	34300000000	5000	원(KRW)	02-3441-4114	서울특별시 용산구 한강대로 92 LS용산타워
35	245620	EDGC	137001	38565361	3856536100	100	원(KRW)	327132140	인천광역시 연수구 하모니로 291 4층 
36	037370	EG	74607	7500000	7500000000	1000	원(KRW)	041 -750 -7777	충청남도 금산군 추부면 서대산로 459 
37	079190	EMW	32604	31784197	15892098500	500	원(KRW)	02-2107-5500	인천광역시 남동구  남동서로 155 (고잔동 남동공단80블럭4로트)
38	007700	F&F	31401	15400000	7700000000	500	원(KRW)	02-520-0001	서울특별시 강남구  언주로 541(역삼동외 에프앤에프빌딩) 
39	130500	GH신소재	31309	11000000	5500000000	500	원(KRW)	054-460-8100	경상북도 구미시  1공단로4길 141-54 
40	114090	GKL	189102	61855670	30927835000	500	원(KRW)	3466-6209	서울특별시 강남구 삼성로 610 삼성동
41	900290	GRT	116409	67375000	770089223	0	중국위안(CNY)	85236458129	Room 01 21F Prosper Commercial Building 9 Yin Chong Street Kowloon Hong Kong 
42	078930	GS	116409	92915378	473501020000	5000	원(KRW)	-	서울특별시 강남구 논현로 508 
43	083450	GST	32902	9317745	4658872500	500	원(KRW)	031-371-2200	경기도 화성시 동탄면 동탄산단6길 15-13 
44	006360	GS건설	64101	80097804	400489020000	5000	원(KRW)	02-2154-1112	서울특별시 종로구 종로 33 그랑서울
45	001250	GS글로벌	74608	82533764	206334410000	2500	원(KRW)	02-2005-5300	서울특별시 강남구 논현로 508 GS강남타워 
46	007070	GS리테일	74701	77000000	77000000000	1000	원(KRW)	02-2005-1114	서울특별시 강남구 논현로 508GS타워(역삼동 679) 
47	028150	GS홈쇼핑	106002	6562500	32812500000	5000	원(KRW)	02-2007-4153	서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가)
48	045890	GV	32804	48350590	24175295000	500	원(KRW)	032-670-3000	경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주)
49	078150	HB테크놀러지	32902	78990426	39495213000	500	원(KRW)	031-332-0060	충청남도 아산시 음봉면 산동로 87 
50	012630	HDC	116409	59741721	298708605000	5000	원(KRW)	02-2008-9114	서울특별시 강남구 영동대로 520 아이파크타워
51	039570	HDC아이콘트롤스	64203	16460000	8230000000	500	원(KRW)	031-785-1711	경기도 성남시 분당구 정자일로213번길 5 
52	089470	HDC현대EP	32004	31900000	17200000000	500	원(KRW)	041-350-0500	충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사
53	294870	HDC현대산업개발	64101	65907330	329536650000	5000	원(KRW)	02-2008-9114	서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 
54	011200	HMM	85001	326726323	1633631615000	5000	원(KRW)	02-3706-5114	서울특별시 종로구  율곡로 194 
55	036640	HRS	32002	16354800	8177400000	500	원(KRW)	02  -780 -6156	경기도 평택시  팽성읍 추팔산단2길 7 
56	082740	HSD엔진	32901	32947142	32947142000	1000	원(KRW)	055-260-6000	경상남도 창원시 성산구 공단로 67 (신촌동)
57	299170	IBKS제10호스팩	116601	4330000	433000000	100	원(KRW)	02-6915-5350	서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 
58	335890	IBKS제11호스팩	116601	4790000	479000000	100	원(KRW)	02-6915-5338	서울특별시 영등포구 국제금융로6길 11 삼덕빌딩
59	335870	IBKS제12호스팩	116601	3120000	312000000	100	원(KRW)	02-6915-5573	서울특별시 영등포구 국제금융로6길 11 
60	351340	IBKS제13호스팩	116601	5170000	517000000	100	원(KRW)	02-6915-5361	서울특별시 영등포구 국제금융로6길 11 (여의도동 삼덕빌딩) 
61	351320	IBKS제14호스팩	116409	4330000	433000000	100	원(KRW)	02-6915-5797	서울특별시 영등포구 국제금융로6길 11 
62	095340	ISC	32602	14142508	7071254000	500	원(KRW)	031-777-7675	경기도 성남시 중원구  갈마치로 215 (상대원동 금강펜테리움IT타워 6층)
63	099520	ITX엠투엠	32605	29187677	14593838500	500	원(KRW)	02-2082-8379	서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호
64	175330	JB금융지주	116409	196982894	984914470000	5000	원(KRW)	02-2128-2727	전라북도 전주시 덕진구  백제대로 566 
65	950170	JTC	74701	35005517	0	0	일본엔(JPY)	-8635	6F Hakata Prestige Bldg. 2-17-1 Hakata-ekimae Hakata-KuFukuoka 8120011 Japan 
66	234080	JW생명과학	32102	15834554	39586385000	2500	원(KRW)	041-351-7600	충청남도 당진시 송악읍 한진1길 28 
67	067290	JW신약	32102	41667166	20833583000	500	원(KRW)	02-840-6111	서울특별시 서초구 남부순환로 2477 
68	001060	JW중외제약	32102	20920054	52956972500	2500	원(KRW)	02-840-6777	서울특별시 서초구  남부순환로 2477 
69	096760	JW홀딩스	116409	66452155	33226077500	500	원(KRW)	02-840-6777	서울특별시 서초구  남부순환로 2477 
70	035900	JYP Ent.	105902	35494992	17942201500	500	원(KRW)	02-2225-8100	서울특별시 강동구 강동대로 205 (성내동 JYP Center 빌딩) 
71	024840	KBI메탈	32402	32950848	16475424000	500	원(KRW)	053 -615 -1161	대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장
72	105560	KB금융	116409	415807920	2090557685000	5000	원(KRW)	02-2073-7114	서울특별시 영등포구 국제금융로8길 26 (여의도동 국민은행 여의도본점)
73	024120	KB오토시스	33003	11500000	5750000000	500	원(KRW)	041-537-5345	충청남도 아산시  음봉면 아산온천로 528-24 
74	021320	KCC건설	64101	21400000	107000000000	5000	원(KRW)	02-513-5500	서울특별시 서초구  강남대로 587 KCC 건설 
75	036670	KCI	32004	11270000	5635000000	500	원(KRW)	031 -497 -6411	충남 서산시 대산읍 대죽리 13-7 
76	009440	KC그린홀딩스	116409	22434980	11217490000	500	원(KRW)	02-320-6311	서울특별시 마포구 상암산로 34디지털큐브 12층 
77	112190	KC산업	32303	7125253	3562626500	500	원(KRW)	031-883-8684	경기도 여주시 가남읍 가남로 465 
78	119650	KC코트렐	32901	13000000	6500000000	500	원(KRW)	02-3206-311	서울특별시 마포구 상암산로 34디지털큐브 12층 
79	044180	KD	64101	78353304	39176652000	500	원(KRW)	070-5138-4366	경기도 안산시 단원구 광덕서로 102 406-3호
80	092220	KEC	32601	116706940	58353470000	500	원(KRW)	02-2025-5000	서울특별시 서초구  마방로10길 5 
81	151860	KG ETS	53802	36000000	20051860000	500	원(KRW)	031-488-1122	경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)
82	016380	KG동부제철	32401	100008897	500311410000	5000	원(KRW)	02-3450-8027	서울특별시 중구 한강대로 416 서울스퀘어 7층
83	046440	KG모빌리언스	105802	38825568	19412784000	500	원(KRW)	(02)2192-2000	서울특별시 중구 통일로 92 케이지타워 16층
84	035600	KG이니시스	105802	27904434	13952217000	500	원(KRW)	(02)3430-5913	서울특별시 중구 통일로 92 케이지타워 1415층
85	001390	KG케미칼	32001	13013232	67374405000	5000	원(KRW)	052-231-1842	울산광역시 울주군 온산읍 당월로 322 
86	060720	KH바텍	32602	23637484	11818742000	500	원(KRW)	054-465-0630	경상북도 구미시  1공단로10길 53-12 (주)KH바텍 
87	001940	KISCO홀딩스	32401	18476380	18476380000	1000	원(KRW)	055-260-0500	경상남도 창원시 성산구  공단로103번길 12 한국철강(주) 
88	122450	KMH	106002	22667982	11434247500	500	원(KRW)	02-2647-1255	서울특별시 양천구  목동서로 201 KT정보전산센터 7층
89	052900	KMH하이텍	32202	46885499	23442749500	500	원(KRW)	(041)539-6114	충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 
90	058400	KNN	106002	132429720	66214860000	500	원(KRW)	051-850-9214	부산광역시 해운대구  센텀서로 30 케이엔엔타워 
91	114450	KPX생명과학	32101	15000000	7500000000	500	원(KRW)	061-688-4600	전라남도 여수시 여수산단2로 84 
92	025000	KPX케미칼	32001	4840000	24200000000	5000	원(KRW)	02-2014-4000	서울특별시 마포구  마포대로 137  KPX빌딩
93	092230	KPX홀딩스	32001	4224646	21123230000	5000	원(KRW)	02-2014-4150	서울특별시 마포구  마포대로 137 KPX빌딩 19층
94	000040	KR모터스	33109	91661018	45830509000	500	원(KRW)	055-282-7011	경상남도 창원시 성산구 완암로 28 　
95	044450	KSS해운	85001	23185880	11592940000	500	원(KRW)	3702-2700	서울특별시 종로구 인사동길 12 대일빌딩 8층 
96	030210	KTB투자증권	116601	60314092	301570460000	5000	원(KRW)	02-2184-2000	서울특별시 영등포구  여의대로 66 KTB빌딩
97	036030	KTH	74601	35715022	35715022000	1000	원(KRW)	02-1588-5668	서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 
98	058850	KTcs	106309	42685000	23842500000	500	원(KRW)	042-604-5138	대전광역시 서구 갈마로 160 
99	058860	KTis	106309	34802000	17401000000	500	원(KRW)	02-3215-2054	서울특별시 영등포구 여의대로 14 케이티빌딩 10층
100	060370	KT서브마린	64203	21900000	21900000000	1000	원(KRW)	(051)704-0004	부산광역시 해운대구 송정광어골로 42  
101	093050	LF	31401	29240000	146200000000	5000	원(KRW)	02-3441-8114	서울특별시 강남구 언주로 870 (신사동) 
102	003550	LG	116409	172557131	879359040000	5000	원(KRW)	02-3773-5114	서울특별시 영등포구  여의대로 128 
103	034220	LG디스플레이	32602	357815700	1789078500000	5000	원(KRW)	02-3777-1010	서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) 
104	001120	LG상사	74601	38760000	193800000000	5000	원(KRW)	02-3773-1114	서울특별시 종로구 새문안로 58 LG광화문빌딩 
105	051900	LG생활건강	32004	15618197	88589470000	5000	원(KRW)	02-3773-5114	서울특별시 종로구  새문안로 58 
106	032640	LG유플러스	106102	436611361	2573969175000	5000	원(KRW)	02-3773-1114	서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥
107	011070	LG이노텍	32602	23667107	118335535000	5000	원(KRW)	02-3777-1114	서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 
108	066570	LG전자	32604	163647814	904169030000	5000	원(KRW)	02-3777-1114	서울특별시 영등포구  여의대로 128 LG트윈타워
109	108670	LG하우시스	32202	8967670	50000000000	5000	원(KRW)	3777-1114	서울특별시 중구 후암로 98 LG서울역빌딩 
110	037560	LG헬로비전	106002	77446865	193617162500	2500	원(KRW)	02-1855-1000	서울특별시 마포구 월드컵북로56길 19 6층(상암동 드림타워) 
111	051910	LG화학	32001	70592343	391405715000	5000	원(KRW)	02-3777-1114	서울특별시 영등포구  여의대로 128 
112	079550	LIG넥스원	32502	22000000	110000000000	5000	원(KRW)	1644 - 2005	경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) 
113	006260	LS	116409	32200000	161000000000	5000	원(KRW)	02-2189-9988	서울특별시 용산구 한강대로 92 LS용산타워 - 
114	000680	LS네트웍스	74608	78803016	394015080000	5000	원(KRW)	02-799-7114	경상남도 김해시 호계로 428 1층(부원동 세화빌딩)
115	229640	LS전선아시아	116409	30624879	15312439500	500	원(KRW)	031-428-0288	경기도 안양시 동안구 엘에스로 127(호계동 LS타워) 3층 
116	023150	MH에탄올	31101	7378526	4596763000	500	원(KRW)	055-231-0701	경상남도 창원시 마산회원구 내서읍 광려천남로 25 
117	065150	MP그룹	74603	80808407	8080840700	100	원(KRW)	02-596-3300	서울특별시 서초구  효령로 132 미피하우스
118	219550	MP한강	74604	57370063	5737006300	100	원(KRW)	02-3773-8373	서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호
119	035420	NAVER	106301	164263395	16481339500	100	원(KRW)	1588-3830	경기도 성남시 분당구  불정로 6 
120	160550	NEW	105901	27906106	13953053000	500	원(KRW)	02-3490-9300	서울특별시 강남구 학동로9길 5 - 
121	053290	NE능률	105801	16072037	8036018500	500	원(KRW)	02-2014-7114	서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 
122	104200	NHN벅스	105802	14827550	7413775000	500	원(KRW)	031-8038-4186	경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄
123	060250	NHN한국사이버결제	106309	22971393	11485696500	500	원(KRW)	(02)2108-1000	서울특별시 구로구 디지털로26길 72 - 
124	005940	NH투자증권	116601	281408887	1531275030000	5000	원(KRW)	02-768-7000	서울특별시 영등포구 여의대로 60 우리투자증권빌딩
125	338100	NH프라임리츠	126801	18660000	9330000000	500	원(KRW)	02-6264-2836	서울특별시 영등포구 국제금융로8길 2(여의도동 농협재단빌딩 13층) 
126	034310	NICE	137105	37882300	18941150000	500	원(KRW)	02-2122-4000	서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥
127	030190	NICE평가정보	106309	60714820	30357410000	500	원(KRW)	02-2122-4000	서울특별시 영등포구 은행로 17 NICE 그룹1사옥 
128	008260	NI스틸	32401	28600117	14300058500	500	원(KRW)	02-758-6789	서울특별시 동작구 동작대로 35 - 
129	010060	OCI	32001	23849371	127246855000	5000	원(KRW)	02-727-9500	서울특별시 중구  소공로 94 OCI 빌딩
130	078590	OQP	33003	75280333	15056066600	200	원(KRW)	02-6925-2168	경남 밀양시 산내면 가인리 364번지 
131	178920	PI첨단소재	32202	29366322	14683161000	500	원(KRW)	031-436-8600	충청북도 진천군 이월면 고등1길 27 
132	024940	PN풍년	32509	10000000	5000000000	500	원(KRW)	02-2008-1030	경기도 안산시 단원구 별망로 620 
133	218410	RFHIC	32604	23847620	11923810000	500	원(KRW)	031-8069-3016	경기도 안양시 동안구 부림로 170 41-14(관양동)
134	091340	S&K폴리텍	32602	11703721	5851860500	500	원(KRW)	031-432-8061	경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지
135	100840	S&TC	32901	7506711	3753355500	500	원(KRW)	055-212-6500	경상남도 창원시 성산구  완암로 12 
136	064960	S&T모티브	33003	14623136	73115680000	5000	원(KRW)	051-509-2114	부산광역시 기장군  철마면 여락송정로 363 
137	003570	S&T중공업	33003	33252697	85631742500	2500	원(KRW)	055-280-5000	경상남도 창원시 성산구  남면로 599 
138	036530	S&T홀딩스	116409	16303886	8351943000	500	원(KRW)	02-3279-5010	서울특별시 금천구  가산디지털1로 134 
139	010950	S-Oil	31902	112582792	291511797500	2500	원(KRW)	02-3772-5151	서울특별시 마포구  백범로 192 
140	019550	SBI인베스트먼트	116402	162066575	83533287500	500	원(KRW)	02-2139-9200	서울특별시 강남구 테헤란로 509엔씨타워1 14층 
141	950110	SBI핀테크솔루션즈	105802	24656540	0	0	일본엔(JPY)	81-3-3498-5011	일본 동경 시부야구 시부야 2-1-1 아오야마 퍼스트 빌딩 
142	034120	SBS	106002	18252582	91262910000	5000	원(KRW)	02-2061-0006	서울특별시 양천구  목동서로 161 
143	101060	SBS미디어홀딩스	106002	139896190	69948095000	500	원(KRW)	02-2113-5599	서울특별시 양천구  목동서로 161 
144	046140	SBS콘텐츠허브	105901	21463555	10731777500	500	원(KRW)	02-2001-0631	서울특별시 마포구 상암산로 82 SBS프리즘타워 15 16층 
145	036120	SCI평가정보	106309	35500000	17750000000	500	원(KRW)	02  -3445-5000	서울특별시 마포구  토정로 144 건양사빌딩 
146	099220	SDN	74605	48178714	24089357000	500	원(KRW)	02-446-6691	경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  
147	036540	SFA반도체	32601	164460303	82487451500	500	원(KRW)	041 -529 -0708	충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) 
148	255220	SG	32309	36720027	3672002700	100	원(KRW)	032-574-6525	인천광역시 서구 봉수대로300번길 15 300번길 9 
149	040610	SG&G	33003	34087196	17043598000	500	원(KRW)	02-2105-6315	경기도 안산시 단원구 원시로 239-10 (원시동)
150	049470	SGA	105802	48362249	48362249000	1000	원(KRW)	070-7308-9319	서울특별시 송파구 법원로11길 25 에이동 801호(문정동 에이치비지니스파크) 
151	184230	SGA솔루션즈	105802	36676033	3667603300	100	원(KRW)	02-574-6856	서울특별시 송파구 법원로11길 25 에이동 901호(문정동 에이치비지니스파크) 
152	224880	SGA임베디드	105802	5418165	2709082500	500	원(KRW)	070-7410-9319	서울특별시 송파구 법원로11길 25에이동 908호(문정동 에이치비지니스파크) 
153	004060	SG세계물산	74608	202424960	101212480000	500	원(KRW)	02-850-5191	서울특별시 금천구  디지털로10길 35 
154	001380	SG충방	33003	44964143	22482071500	500	원(KRW)	070-5038-5498	충청남도 예산군 예산읍 창말로 75 (주)SG충방
155	002360	SH에너지화학	32001	111133730	55566865000	500	원(KRW)	063-469-1500	전라북도 군산시 외항7길 20 
156	009160	SIMPAC	32902	65429516	32714758000	500	원(KRW)	032-510-0044	인천광역시 부평구  부평북로 141 (주)SIMPAC
157	034730	SK	116409	70360297	15385286400	200	원(KRW)	02-2121-5114	서울특별시 종로구 종로 26 SK주식회사
158	307070	SK4호스팩	116601	5160000	516000000	100	원(KRW)	02-3773-9151	서울특별시 영등포구 국제금융로8길 31 4층 
159	337450	SK5호스팩	116601	4310000	431000000	100	원(KRW)	02-3773-8227	서울특별시 영등포구 국제금융로8길 31 4층 
160	340350	SK6호스팩	116601	5710000	571000000	100	원(KRW)	02-3773-9131	서울특별시 영등포구 국제금융로8길 31 4층 
161	011790	SKC	32004	37534555	187672775000	5000	원(KRW)	031-250-7114	경기도 수원시 장안구 장안로309번길 84 (정자동) 
162	057500	SKC 솔믹스	32602	61494040	30747020000	500	원(KRW)	(031)660-8400	경기도 평택시  경기대로 1043 
163	018670	SK가스	74607	9230244	46151220000	5000	원(KRW)	02-6200-8114	경기도 성남시 분당구 판교로 332 ECO Hub
164	001740	SK네트웍스	74607	248187647	620753237500	2500	원(KRW)	070-7800-2114	경기도 수원시 팔달구 매산로52번길 4 - 
165	006120	SK디스커버리	116409	19037855	111677150000	5000	원(KRW)	02-2008-2008	경기도 성남시 분당구 판교로 332 -
166	210980	SK디앤디	126801	18990164	18990164000	1000	원(KRW)	02-398-4700	경기도 성남시 분당구 판교로 332 (삼평동)
167	068400	SK렌터카	147601	35765140	17882570000	500	원(KRW)	1544-1600	서울특별시 구로구  서부샛길 822 
168	036490	SK머티리얼즈	32001	10547673	5273836500	500	원(KRW)	054-630-8114	경상북도 영주시  가흥공단로 59-33 
169	052260	SK바이오랜드	32004	15000000	7500000000	500	원(KRW)	041-550-7700	충청북도 청주시 흥덕구 오송읍 오송생명2로 22 SK 바이오랜드 오송공장 
170	096770	SK이노베이션	31902	92465564	468569950000	5000	원(KRW)	02-2121-5114	서울특별시 종로구  종로 26 
171	001510	SK증권	116601	472590171	238251342500	500	원(KRW)	02-3773-8245	서울특별시 영등포구 국제금융로8길 31 여의도동 SK증권빌딩
172	285130	SK케미칼	32002	11741396	66000330000	5000	원(KRW)	02-2008-2726	경기도 성남시 분당구 판교로 310 
173	017670	SK텔레콤	106102	80745711	44639473000	500	원(KRW)	02-6100-2114	서울특별시 중구  을지로 65 (을자로2가)
174	000660	SK하이닉스	32601	728002365	3657652050000	5000	원(KRW)	031-630-4114	경기도 이천시  부발읍 경충대로 2091 
175	048550	SM C&C	137103	94610120	47305060000	500	원(KRW)	02-3788-0000	서울특별시 강남구 삼성로 648한섬빌딩 
176	063440	SM Life Design	31802	45029154	22874577000	500	원(KRW)	031-955-7171	경기도 파주시 직지길 376 
177	950180	SNK	105802	21061800	0	0	일본엔(JPY)	-12626	1-16-17 Esakacho Suitasi Osaka Japan 
178	005610	SPC삼립	31007	8629009	43145045000	5000	원(KRW)	02-2276-5061	경기도 시흥시 공단1대로 101 
179	011810	STX	74608	19726902	49317255000	2500	원(KRW)	02-316-9600	경상남도 창원시 성산구  중앙대로 105  
180	077970	STX엔진	32901	23008904	57522260000	2500	원(KRW)	-	경상남도 창원시 성산구  공단로474번길 36 
181	071970	STX중공업	32901	28365976	70914940000	2500	원(KRW)	055-280-0700	경상남도 창원시 성산구  남면로 381 
182	289080	SV인베스트먼트	116409	53234000	26617000000	500	원(KRW)	02-3775-1020	서울특별시 영등포구 국제금융로 10 46층 (여의도동 쓰리아이에프씨)
183	002710	TCC스틸	32401	23000000	23000000000	1000	원(KRW)	02-2633-3311	경상북도 포항시 남구  괴동로 100 
184	089230	THE E&M	106309	124348176	12434817600	100	원(KRW)	02-2088-8222	서울특별시 강남구 논현로 842 압구정빌딩 8층(신사동) 
185	161570	THE MIDONG	32605	13791786	6895893000	500	원(KRW)	070-7425-0614	서울특별시 서초구 남부순환로 2652 대명빌딩 7층 
186	032540	TJ미디어	32605	13931609	6965804500	500	원(KRW)	02  -3663-4700	서울특별시 강서구 화곡로64길 23 
187	048770	TPC	32901	13480276	6740138000	500	원(KRW)	032 -572 -1700	인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 
188	246690	TS인베스트먼트	116402	23449039	11724519500	500	원(KRW)	02-6250-5700	서울특별시 강남구 선릉로 531 3층 302호 
189	284610	TS트릴리온	32004	37657000	3765700000	100	원(KRW)	02-785-8296	서울특별시 영등포구 양평로 96 1층6층8층(양평동4가 티에스빌딩)
190	038340	UCI	168505	33115421	16607710500	500	원(KRW)	(02)3438-6900	서울특별시 구로구 디지털로33길 48 604호(구로동 대륭포스트타워7차)
191	073570	WI	32902	75664793	7566479300	100	원(KRW)	041-582-5700	충청남도 천안시 서북구 직산읍 4산단7로 17-15 -
192	024070	WISCOM	32202	15326438	7663219000	500	원(KRW)	031-495-1181	경기도 안산시 단원구  강촌로 237 
193	052300	W홀딩컴퍼니	85209	232418093	23241809300	100	원(KRW)	02-6237-9784	서울특별시 강남구 도산대로 414 14층(청담동 한성청담빌딩) 
194	057030	YBM넷	168507	16312697	8156348500	500	원(KRW)	(02) 2008-5200	경기도 성남시 분당구 대왕판교로 670 유스페이스2 A동 89층 
195	037270	YG PLUS	106301	58170704	29710352000	500	원(KRW)	02-3140-4600	서울특별시 강남구 도산대로15길 12 -
196	040300	YTN	105901	42000000	42000000000	1000	원(KRW)	(02) 398-8000	서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 
197	051390	YW	74608	11355368	5677684000	500	원(KRW)	(031)703-7118	경기도 성남시 분당구  야탑남로 280 801(야탑동분당테크노파크씨동)
198	052220	iMBC	106301	23000000	11500000000	500	원(KRW)	(02)2105-1100	서울특별시 마포구 성암로 25510층(상암동 문화방송미디어센터) 
199	079940	가비아	105802	13535684	6767842000	500	원(KRW)	1544-4370	경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호501호
200	078890	가온미디어	32604	15074293	7537146500	500	원(KRW)	031-724-8500	경기도 성남시 분당구  성남대로 884-3 
201	000500	가온전선	32803	4160347	20801735000	5000	원(KRW)	031-8068-3928	경기도 군포시  엘에스로45번길 120 
202	192410	감마누	32604	24435800	12217900000	500	원(KRW)	031-831-8800	경기도 화성시 동탄면 금곡로 185-44 
203	000860	강남제비스코	32004	6500000	6500000000	1000	원(KRW)	051-892-4221	부산광역시 부산진구  냉정로 289 (가야동)
204	217730	강스템바이오텍	32101	20979437	10489718500	500	원(KRW)	02-888-1590	서울특별시 강남구 테헤란로 512 신안빌딩 17층
205	114190	강원	32501	18154911	9077455500	500	원(KRW)	031-358-7683	전라북도 군산시 자유무역1길 60 웰크론강원 510-9 510-10 510-12
206	035250	강원랜드	189102	213940500	106970250000	500	원(KRW)	033-590-7700	강원도 정선군 사북읍 하이원길 265 강원랜드
